Free_Text
"Pasien Rahmat Widodo, KTP 3276010101010004, 52 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah A, nomor rekam medis 727106, datang pada 10/09/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020004. Keluhan: hipertensi, keluhan tambahan: sesak napas. disarankan mengubah pola makan. Dokter rujukan: Dr. Hasan. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Wawan Purnomo, KTP 3276010101010009, 62 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah B, nomor rekam medis 870412, datang pada 11/09/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020003. Keluhan: migrain, keluhan tambahan: nyeri kepala. diberikan suplemen zat besi. Dokter rujukan: Dr. Hasan. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Lestari Nugroho, KTP 3276010101010007, 41 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 151697, datang pada 27/09/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020007. Keluhan: hipertensi, keluhan tambahan: pusing. diberikan obat antihipertensi. Dokter rujukan: Dr. Hasan. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Yudi Raharjo, KTP 3276010101010004, 20 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah A, nomor rekam medis 583165, datang pada 3/08/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020010. Keluhan: infeksi saluran pernapasan, keluhan tambahan: nyeri kepala. diberikan obat antihipertensi. Dokter rujukan: Dr. Dian. perlu dilakukan tes darah ulang"
"Pasien Wawan Purnomo, KTP 3276010101010004, 45 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081234567890, golongan darah A, nomor rekam medis 522131, datang pada 25/08/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020009. Keluhan: migrain, keluhan tambahan: sakit pinggang. diberikan antibiotik selama 5 hari. Dokter rujukan: Dr. Dian. diminta mengurangi konsumsi garam dan lemak"
"Pasien Wawan Purnomo, KTP 3276010101010005, 72 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081234567890, golongan darah B, nomor rekam medis 445617, datang pada 14/07/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020005. Keluhan: migrain, keluhan tambahan: sesak napas. diberikan inhaler. Dokter rujukan: Dr. Diah. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Rahmat Widodo, KTP 3276010101010003, 46 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081234567890, golongan darah B, nomor rekam medis 802309, datang pada 15/08/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020002. Keluhan: asma, keluhan tambahan: kelelahan. diberikan antihistamin. Dokter rujukan: Dr. Hasan. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Yudi Raharjo, KTP 3276010101010006, 30 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 085643217890, golongan darah O, nomor rekam medis 458352, datang pada 19/07/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020009. Keluhan: kolesterol tinggi, keluhan tambahan: mual. direkomendasikan fisioterapi. Dokter rujukan: Dr. Lukman. diberikan edukasi terkait penyakit"
"Pasien Nita Susanti, KTP 3276010101010009, 51 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 085643217890, golongan darah A, nomor rekam medis 818475, datang pada 10/07/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020008. Keluhan: gagal jantung, keluhan tambahan: kelelahan. diberikan obat antihipertensi. Dokter rujukan: Dr. Diah. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Andi Suryana, KTP 3276010101010002, 66 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081234567890, golongan darah B, nomor rekam medis 371697, datang pada 28/07/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020006. Keluhan: nyeri punggung, keluhan tambahan: sakit pinggang. direkomendasikan fisioterapi. Dokter rujukan: Dr. Diah. perlu dilakukan tes darah ulang"
"Pasien Nita Susanti, KTP 3276010101010004, 75 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 540746, datang pada 14/09/2023. Diperiksa oleh Dr. Sinta Wulandari, KTP 3173010202020002. Keluhan: kolesterol tinggi, keluhan tambahan: kelelahan. diberikan suplemen zat besi. Dokter rujukan: Dr. Dian. diberikan edukasi terkait penyakit"
"Pasien Yudi Raharjo, KTP 3276010101010003, 61 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 082234567654, golongan darah B, nomor rekam medis 445112, datang pada 18/07/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020010. Keluhan: asma, keluhan tambahan: sulit tidur. diberikan antihistamin. Dokter rujukan: Dr. Hasan. diminta mengurangi konsumsi garam dan lemak"
